city,districts,state,Environmental Stance,Latitude,Longitude,aqi,idx,carbon_intensity,temp_f,is_day,wind_mph,wind_degree,pressure_in,precip_in,humidity,cloud,feelslike_f,windchill_f,heatindex_f,dewpoint_f,vis_miles,uv,gust_mph,livability,livability_percentile
Rockford,['IL-16'],Illinois,5.555555555555555,42.267002,-89.08917,13.0,11934.0,349.0,60.1,1.0,15.0,360.0,29.85,0.01,93.0,100.0,60.1,58.8,59.8,56.3,0.0,3.0,19.5,72.8825307504545,72.22963951935914
Joliet,['IL-11'],Illinois,97.2222222222222,41.526885,-88.116474,16.0,9640.0,349.0,76.3,1.0,2.2,10.0,29.74,0.01,64.0,100.0,80.1,70.6,75.7,65.0,9.0,5.0,13.7,71.55393928150221,9.345794392523365
Naperville,"['IL-11', 'IL-6']",Illinois,97.2222222222222,41.7714,-88.1522,18.0,9535.0,349.0,60.1,1.0,16.1,30.0,29.8,0.03,90.0,100.0,60.1,69.1,71.4,63.7,2.0,5.0,20.6,71.71494026949364,10.947930574098798
Springfield,['MO-7'],Missouri,0.0,39.8669,-88.9256,34.0,7401.0,630.0,72.0,1.0,15.0,280.0,29.7,0.0,46.0,75.0,76.0,71.4,75.6,51.7,9.0,6.0,19.5,72.23132818132699,39.91989319092123
Peoria,['AZ-8'],Arizona,0.0,40.6978,-89.5889,13.0,7395.0,286.0,104.4,1.0,4.3,170.0,29.74,0.0,12.0,50.0,104.4,100.6,99.0,33.6,9.0,9.0,4.4,72.66195617864291,67.02269692923899
Elgin,['IL-6'],Illinois,0.0,42.2211,-88.2411,26.0,7403.0,349.0,60.1,1.0,16.1,30.0,29.8,0.02,90.0,100.0,60.1,60.2,62.2,61.7,2.0,4.0,20.6,73.645729585583,86.78237650200266
Waukegan,['IL-10'],Illinois,100.0,42.50472,-87.8093,28.0,5926.0,349.0,57.0,1.0,10.5,30.0,29.81,0.05,89.0,100.0,54.8,55.6,57.4,55.1,4.0,3.0,13.6,72.00019214569704,22.963951935914555
Cicero,['IL-4'],Illinois,0.0,41.864329,-87.748826,26.0,7595.0,349.0,62.1,1.0,21.7,360.0,29.79,0.02,84.0,100.0,62.1,67.5,68.3,61.2,1.0,4.0,26.2,72.64553077853917,66.35514018691589
Champaign,['IL-13'],Illinois,100.0,39.8669,-88.9256,34.0,7401.0,532.0,80.1,1.0,13.6,220.0,29.79,0.0,52.0,75.0,86.3,69.1,70.9,65.4,9.0,5.0,19.3,71.42710497971756,8.210947930574099
Bloomington,['MN-3'],Minnesota,0.0,40.5169,-88.9975,37.0,9513.0,532.0,75.9,1.0,15.0,340.0,29.86,0.0,33.0,75.0,76.8,72.4,75.2,46.0,9.0,6.0,19.5,72.19247523535999,37.6502002670227
